gold_left,level,total_damage_to_players,players_eliminated,num_traits,placement
0,9,139,1,7,1
2,8,116,0,6,1
0,8,67,0,6,0
1,7,93,2,5,0
0,9,136,1,4,1
11,8,170,3,5,1
0,6,55,0,2,0
1,8,96,1,5,0
4,10,210,2,9,1
0,9,74,1,5,1
0,8,104,2,6,1
5,8,60,0,7,0
4,8,84,1,4,1
6,8,53,0,7,0
1,8,81,1,2,0
4,8,99,1,7,1
1,8,62,0,7,0
0,7,55,0,7,0
15,8,73,0,8,0
10,8,105,1,6,0
2,8,117,1,4,1
10,8,128,1,5,1
45,4,0,0,2,1
5,9,126,2,4,1
3,7,87,1,4,0
2,8,10,0,3,0
0,8,34,0,8,0
3,9,44,0,4,0
0,8,79,1,5,0
14,8,66,0,4,0
1,8,14,0,8,0
0,8,36,0,7,0
5,9,133,1,9,1
0,9,125,1,2,1
54,8,80,0,5,0
5,8,114,0,2,1
2,9,180,3,5,1
0,9,61,1,8,1
2,8,94,1,8,1
4,8,133,0,5,1
2,8,53,0,5,0
1,8,83,1,5,1
0,8,138,2,3,1
6,8,16,0,5,0
4,9,89,2,7,0
1,10,163,3,8,1
0,9,112,0,10,1
16,9,193,2,9,1
0,8,58,0,6,0
2,9,180,3,7,1
10,8,132,2,5,1
12,7,142,4,6,1
1,8,79,0,5,0
0,9,79,0,3,0
10,8,23,0,5,0
1,9,135,0,7,1
0,8,87,0,4,0
1,8,51,0,3,0
11,9,79,1,9,0
2,8,77,1,2,0
2,9,164,2,5,1
0,8,31,0,5,0
3,8,86,1,7,1
6,7,116,1,6,0
13,9,160,2,10,1
6,9,119,0,6,1
11,7,65,0,5,1
6,8,49,0,6,0
1,8,28,0,5,0
0,8,100,1,5,1
6,9,124,2,6,1
6,9,183,2,7,1
11,9,148,2,6,1
1,7,40,0,2,0
21,9,79,0,6,0
0,9,110,1,5,1
1,8,61,0,7,0
63,8,38,0,4,0
1,9,151,3,10,1
5,7,74,1,3,0
5,9,182,1,7,1
27,8,110,2,6,1
2,8,24,0,7,0
8,8,69,1,3,0
3,9,84,1,8,1
1,8,10,0,4,0
4,9,108,0,4,1
0,8,23,0,6,0
51,8,52,0,6,0
0,9,112,0,8,0
0,8,83,0,4,0
12,9,75,2,6,1
2,8,132,1,8,1
1,8,127,1,3,1
3,7,56,0,3,0
11,8,164,2,7,1
0,6,24,0,3,0
2,9,147,1,6,1
0,9,98,1,4,0
30,6,32,0,2,0
0,8,113,0,8,1
7,7,136,0,7,1
0,8,103,1,5,1
1,8,57,0,8,0
0,10,163,3,6,1
1,8,61,0,8,0
2,9,73,0,6,0
1,9,185,3,7,1
50,8,106,0,7,1
0,8,62,1,6,0
1,8,120,0,3,1
0,7,82,0,2,0
4,8,102,1,5,0
2,9,60,0,6,0
5,9,95,1,8,0
3,9,98,0,6,1
11,9,83,3,4,1
1,8,79,0,4,0
0,7,6,0,5,0
3,8,117,1,6,1
3,9,86,0,7,0
2,9,46,0,6,0
2,9,128,1,4,1
0,9,114,1,5,1
4,9,187,3,7,1
1,7,65,0,2,0
1,8,76,0,6,0
1,9,126,2,9,1
7,10,158,1,8,1
4,9,171,2,5,1
2,9,133,3,8,1
31,8,161,2,6,1
138,6,12,0,4,0
0,8,83,0,5,0
1,9,99,1,7,1
1,8,113,0,7,1
19,8,184,3,0,1
2,8,77,0,4,1
8,8,50,0,4,0
2,8,179,1,7,1
3,9,109,1,4,1
1,9,113,0,6,1
1,8,46,0,5,0
4,9,112,1,6,1
1,8,142,3,6,1
3,7,83,0,6,1
28,9,140,3,8,1
0,9,92,0,5,0
1,9,166,4,5,1
1,8,125,2,6,1
5,9,36,0,9,0
13,9,174,3,7,1
10,9,137,3,7,1
2,9,85,0,7,0
3,8,93,0,4,0
44,8,87,0,7,0
19,8,36,0,5,0
0,9,140,3,10,1
1,9,158,3,5,1
11,7,58,0,6,0
2,8,123,1,8,1
4,8,28,0,4,0
1,9,137,0,5,1
1,8,110,0,3,1
0,9,163,2,6,1
4,8,48,0,7,0
38,8,32,0,8,0
15,9,131,2,7,1
5,9,114,1,6,1
8,9,168,4,6,1
3,9,189,1,10,1
1,8,50,0,2,0
2,9,124,1,9,1
1,8,137,2,5,1
3,9,177,4,8,1
4,8,119,0,6,1
0,8,88,0,5,0
13,8,102,0,6,1
0,8,61,0,6,0
9,7,126,0,7,1
1,9,181,3,5,1
11,8,159,2,7,1
3,10,146,2,6,1
5,8,130,1,7,1
11,7,80,1,5,0
12,9,202,3,8,1
17,8,179,4,5,1
8,8,91,0,6,1
2,8,85,0,5,0
2,8,125,0,5,1
0,9,91,0,3,0
22,8,62,0,5,0
0,9,111,1,7,1
50,8,92,2,8,1
2,9,88,0,6,0
2,9,78,2,4,1
0,9,164,1,5,1
4,8,65,0,7,0
0,9,115,1,3,1
0,9,151,3,6,1
1,7,127,1,4,1
8,8,43,0,8,0
1,7,47,0,2,0
1,8,134,2,5,1
3,9,107,1,7,0
3,8,93,0,8,1
1,8,51,0,2,0
6,7,34,0,5,0
4,9,128,0,9,1
6,10,157,2,8,1
0,9,95,0,7,0
14,9,214,2,8,1
0,8,146,2,4,1
11,7,56,0,4,0
6,9,112,1,7,1
42,8,46,0,4,0
1,9,146,1,10,1
15,9,106,1,6,0
12,7,113,2,4,1
15,9,102,1,8,1
1,8,89,0,5,1
4,9,183,3,7,1
0,9,105,1,5,1
